NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
1	3232.677	11.593	21.5038718	-1.6193091	9.193	5.007	-83.123	0.4553	1.939823e+03	1.739006e+02	21.7806	0.0973	3.500	10.419	2.7402	26.8430	11.155	6.914841e+01	3.883015e+02	7.852284e+02	1.206753e+03	0.360	12.888	6.082	22.8704	26.8568	0.479	C	16	0	unmatched_591.59
2	1485.419	30.378	21.6315676	-1.6179263	9.759	3.769	-6.240	0.6138	2.198744e+03	1.898010e+02	21.6446	0.0937	3.500	22.555	5.9320	28.1130	11.584	1.016059e+02	3.199122e+02	5.278532e+02	2.422275e+03	0.360	0.955	7.092	24.0528	22.6175	0.327	C	16	0	unmatched_604.80
3	3136.412	48.719	21.5109071	-1.6165965	14.208	9.138	-89.765	0.3569	5.199448e+03	2.924606e+02	20.7101	0.0611	3.500	19.754	5.1952	27.4259	17.778	1.360249e+02	3.624421e+02	9.206739e+02	1.563945e+03	0.984	13.533	4.874	22.9373	27.1618	0.564	B	16	0	unmatched_573.96
4	3071.689	89.832	21.5156371	-1.6135927	12.581	5.512	-50.086	0.5619	4.021358e+03	2.388507e+02	20.9891	0.0645	3.500	14.884	3.9146	27.3050	16.836	8.944691e+01	3.217056e+02	7.500324e+02	1.179024e+03	0.360	12.824	4.523	23.2449	26.9843	0.474	C	0	0	unmatched_558.47
5	2997.431	97.607	21.5210641	-1.6130244	11.622	5.053	-39.403	0.5653	2.104841e+03	2.168604e+02	21.6920	0.1119	3.500	12.705	3.3415	27.9262	9.706	-1.864684e-01	1.258075e+02	3.697249e+02	5.920893e+02	0.360	12.396	3.843	24.0655	27.7227	0.348	C	0	0	unmatched_551.06
6	3551.390	90.114	21.4805787	-1.6135737	11.031	5.405	-47.984	0.5100	2.975654e+03	2.269357e+02	21.3160	0.0828	3.500	20.925	5.5032	27.2121	13.112	3.898634e+02	8.738883e+02	1.149611e+03	2.649584e+03	0.518	5.155	5.834	22.5711	25.0058	0.515	B	0	0	unmatched_571.88
7	5148.801	124.557	21.3638335	-1.6110587	9.292	6.386	-39.179	0.3127	3.102331e+03	2.205951e+02	21.2708	0.0772	3.500	13.707	3.6049	26.6430	14.063	3.286375e+02	5.643199e+02	1.690789e+03	1.866371e+03	0.360	13.466	4.803	22.1131	25.3116	0.577	B	0	0	unmatched_415.32
8	4330.122	93.220	21.4236658	-1.6133483	9.847	3.837	64.545	0.6103	2.527403e+03	1.701627e+02	21.4933	0.0731	3.500	15.153	3.9853	26.9662	14.853	4.048329e+02	6.237373e+02	1.321561e+03	1.993421e+03	0.767	4.446	5.037	23.1421	25.0248	0.526	B	0	0	unmatched_458.92
9	4334.060	124.963	21.4233780	-1.6110293	7.228	3.945	52.655	0.4541	2.569905e+03	1.439704e+02	21.4752	0.0608	3.500	11.603	3.0516	26.8597	17.850	3.991882e+02	4.870238e+02	9.530963e+02	2.225209e+03	NaN	NaN	NaN	NaN	NaN	0.510	B	0	0	unmatched_450.84
10	5822.723	139.782	21.3145807	-1.6099450	10.002	7.119	44.541	0.2882	1.507033e+03	2.369560e+02	22.0547	0.1707	3.586	10.615	2.7917	27.2559	6.360	4.533525e+01	2.655354e+02	5.341910e+02	1.048964e+03	0.360	12.219	3.629	23.4870	26.6217	0.456	C	0	0	unmatched_461.59
11	4392.485	154.558	21.4191081	-1.6088673	9.692	3.094	-66.377	0.6808	1.072702e+03	1.453712e+02	22.4238	0.1471	3.500	10.495	2.7602	27.3127	7.379	6.874893e+01	2.651474e+02	4.040810e+02	7.024935e+02	0.453	3.045	3.326	24.1532	25.5806	0.403	C	0	0	unmatched_437.73
12	4186.554	194.914	21.4341583	-1.6059189	9.009	4.707	75.760	0.4776	1.813533e+03	1.710696e+02	21.8537	0.1024	3.790	20.278	5.3332	28.4136	10.601	9.461387e+01	2.106861e+02	3.831028e+02	8.109060e+02	NaN	NaN	NaN	NaN	NaN	0.258	D	0	0	unmatched_451.42
13	3930.772	204.602	21.4528518	-1.6052108	11.690	5.806	88.892	0.5033	3.110546e+03	2.027511e+02	21.2679	0.0708	3.500	10.307	2.7108	27.1358	15.342	1.300730e+02	3.106326e+02	4.523013e+02	7.547012e+02	0.967	6.232	2.764	23.6297	25.8135	0.541	B	0	0	unmatched_485.40
14	5288.358	186.301	21.3536342	-1.6065478	27.396	18.675	-77.332	0.3183	3.731074e+04	6.509123e+02	18.5704	0.0189	3.596	33.870	8.9077	27.4742	57.321	6.391377e+01	2.657029e+02	1.048320e+03	3.255542e+03	0.360	46.283	4.384	20.6945	27.4949	0.588	B	16	0	unmatched_404.03
15	615.787	220.603	21.6951208	-1.6040214	7.838	3.989	77.871	0.4910	1.216479e+03	1.482087e+02	22.2872	0.1323	3.500	9.875	2.5970	26.4494	8.208	4.073944e+02	5.603854e+02	9.392972e+02	1.200746e+03	0.630	3.733	3.540	23.2039	24.8895	0.560	B	0	0	unmatched_647.30
16	5833.210	220.892	21.3138145	-1.6040195	12.876	6.081	20.134	0.5278	2.904222e+03	2.381010e+02	21.3424	0.0890	3.500	17.250	4.5369	27.4864	12.197	4.816723e+02	5.735967e+02	7.093365e+02	1.295481e+03	0.662	2.652	3.968	23.1902	24.3140	0.480	C	0	0	unmatched_444.09
