R_PIX	R_ARCSEC	MU_F090W	MU_ERR_F090W	MU_F444W	MU_ERR_F444W	F090W-F444W
1.5000	0.094500	22.2256	0.0051	17.8130	0.0777	4.4126
3.1893	0.200927	22.2080	0.0055	18.3633	0.0992	3.8446
3.5918	0.226285	22.2120	0.0142	18.4885	0.0865	3.7236
4.0451	0.254844	22.2181	0.0077	18.7058	0.0645	3.5123
4.5557	0.287007	22.2205	0.0109	18.8072	0.0740	3.4132
5.1306	0.323230	22.2185	0.0074	19.0327	0.0396	3.1857
5.7782	0.364024	22.2300	0.0070	19.2018	0.0358	3.0282
6.5074	0.409967	22.2147	0.0053	19.3162	0.0328	2.8985
7.3287	0.461708	22.2098	0.0051	19.4627	0.0227	2.7471
8.2536	0.519979	22.2205	0.0063	19.6096	0.0161	2.6108
9.2953	0.585604	22.1957	0.0051	19.7237	0.0147	2.4720
10.4684	0.659512	22.2059	0.0040	19.8392	0.0101	2.3667
11.7896	0.742747	22.2093	0.0042	19.9474	0.0091	2.2619
13.2776	0.836488	22.2027	0.0045	20.0661	0.0064	2.1366
14.9533	0.942059	22.2052	0.0050	20.1568	0.0063	2.0484
16.8405	1.060954	22.1991	0.0052	20.2779	0.0208	1.9212
18.9659	1.194854	22.1988	0.0048	20.4048	0.0436	1.7940
21.3596	1.345654	22.1879	0.0050	20.5437	0.0244	1.6442
24.0553	1.515486	22.1870	0.0050	20.7028	0.0089	1.4842
27.0913	1.706752	22.1903	0.0049	20.8813	0.0106	1.3090
30.5104	1.922158	22.2006	0.0050	21.0853	0.0074	1.1153
34.3611	2.164749	22.2033	0.0050	21.2824	0.0056	0.9209
38.6977	2.437957	22.2136	0.0051	21.4607	0.0050	0.7528
43.5817	2.745646	22.2141	0.0042	21.6433	0.0046	0.5707
49.0820	3.092167	22.2192	0.0035	21.8107	0.0043	0.4086
55.2766	3.482423	22.2244	0.0026	21.9712	0.0095	0.2532
62.2529	3.921931	22.2278	0.0016	22.1175	0.0045	0.1103
70.1097	4.416909	22.2331	0.0010	22.2650	0.0032	-0.0319
78.9581	4.974357	22.2308	0.0007	22.3875	0.0037	-0.1567
88.9232	5.602160	22.2322	0.0006	22.4746	0.0065	-0.2424
100.1460	6.309195	22.2408	0.0005	22.5570	0.0026	-0.3162
112.7852	7.105465	22.2420	0.0005	22.6070	0.0046	-0.3651
127.0195	8.002229	22.2435	0.0005	22.6384	0.0133	-0.3949
143.0504	9.012172	22.2455	0.0007	22.6738	0.0687	-0.4283
161.1044	10.149578	22.2482	0.0010	22.6946	0.0523	-0.4463
181.4370	11.430533	22.2487	0.0051	22.7343	0.0119	-0.4857
204.3358	12.873155	22.2542	0.0066	22.7779	0.0222	-0.5238
230.1245	14.497846	22.2562	0.0084	22.8136	0.0325	-0.5573
259.1680	16.327586	22.2599	0.0700	22.8405	0.0154	-0.5806
291.8770	18.388253	22.2634	0.0009	22.8561	0.0067	-0.5927
328.7142	20.708993	22.2681	0.0002	22.8906	0.0107	-0.6225
370.2004	23.322628	22.2731	0.0001	22.8870	0.0235	-0.6139
416.9226	26.266123	22.2718	0.0026	22.9133	0.0069	-0.6416
469.5414	29.581111	22.2701	0.0033	22.9389	0.0122	-0.6688
528.8012	33.314475	22.2689	0.0169	22.9758	0.0109	-0.7069
595.5400	37.519019	22.2689	0.0275	22.9971	0.0039	-0.7282
670.7017	42.254209	22.2710	0.0193	23.0043	0.0081	-0.7333
755.3495	47.587016	22.2738	0.0018	23.0027	0.0041	-0.7289
850.6804	53.592865	22.2765	0.0001	23.0208	0.0063	-0.7442
958.0428	60.356698	22.2735	0.0002	23.0352	0.0030	-0.7617
1078.9552	67.974180	22.2736	0.0006	23.0319	0.0037	-0.7583
