R_PIX	R_ARCSEC	MU	MU_ERR	FLUX	AREA	NPIX
1.5000	0.094500	17.8219	0.0784	2.856662e+02	25.00	25
3.1893	0.200927	18.3781	0.1005	8.411313e+01	12.00	12
3.5918	0.226285	18.5050	0.0878	4.603293e+01	8.00	8
4.0451	0.254844	18.7261	0.0658	7.698937e+01	16.00	16
4.5557	0.287007	18.8295	0.0755	3.458354e+01	8.00	8
5.1306	0.323230	19.0602	0.0406	1.015190e+02	28.00	28
5.7782	0.364024	19.2340	0.0369	7.332649e+01	24.00	24
6.5074	0.409967	19.3521	0.0339	6.567423e+01	24.00	24
7.3287	0.461708	19.5038	0.0236	9.653201e+01	40.00	40
8.2536	0.519979	19.6568	0.0169	1.174110e+02	56.00	56
9.2953	0.585604	19.7762	0.0154	9.723214e+01	52.00	52
10.4684	0.659512	19.8978	0.0107	1.537114e+02	92.00	92
11.7896	0.742747	20.0123	0.0097	1.552440e+02	104.00	104
13.2776	0.836488	20.1388	0.0069	1.782704e+02	132.00	132
14.9533	0.942059	20.2360	0.0067	2.124282e+02	172.00	172
16.8405	1.060954	20.3669	0.0226	2.385812e+02	204.00	204
18.9659	1.194854	20.5054	0.0478	3.034539e+02	268.00	268
21.3596	1.345654	20.6587	0.0272	3.197752e+02	344.00	344
24.0553	1.515486	20.8372	0.0101	3.126825e+02	420.00	420
27.0913	1.706752	21.0416	0.0123	3.496917e+02	564.00	564
30.5104	1.922158	21.2818	0.0088	3.467209e+02	704.00	704
34.3611	2.164749	21.5226	0.0069	3.480455e+02	892.00	892
38.6977	2.437957	21.7500	0.0065	3.335795e+02	1060.00	1060
43.5817	2.745646	21.9953	0.0063	3.689061e+02	1456.00	1456
49.0820	3.092167	22.2339	0.0064	3.650542e+02	1780.00	1780
55.2766	3.482423	22.4800	0.0152	3.869989e+02	2288.00	2288
62.2529	3.921931	22.7251	0.0079	3.921128e+02	2888.00	2888
70.1097	4.416909	22.9976	0.0064	3.932959e+02	3668.00	3668
78.9581	4.974357	23.2531	0.0082	4.081338e+02	4656.00	4656
88.9232	5.602160	23.4567	0.0160	4.693108e+02	5904.00	5904
100.1460	6.309195	23.6723	0.0073	4.620787e+02	7484.00	7484
112.7852	7.105465	23.8183	0.0139	5.783047e+02	9472.00	9472
127.0195	8.002229	23.9175	0.0433	1.014691e+03	12016.00	12016
143.0504	9.012172	24.0354	0.2409	2.956376e+03	15252.00	15252
161.1044	10.149578	24.1107	0.1927	2.023359e+03	19376.00	19376
181.4370	11.430533	24.2620	0.0485	1.358277e+03	24516.00	24516
204.3358	12.873155	24.4521	0.1036	2.029250e+03	31186.00	31186
230.1245	14.497846	24.6292	0.1733	3.290657e+03	39428.00	39428
259.1680	16.327586	24.7801	0.0922	1.954664e+03	50024.00	50024
291.8770	18.388253	24.8720	0.0428	2.220062e+03	63496.00	63496
328.7142	20.708993	25.1130	0.0830	4.025800e+03	80366.00	80366
370.2004	23.322628	25.0853	0.1778	9.031217e+03	102046.00	102046
416.9226	26.266123	25.2946	0.0616	4.073570e+03	129590.00	129590
469.5414	29.581111	25.5475	0.1350	6.189806e+03	164285.00	164285
528.8012	33.314475	26.0279	0.1819	8.023710e+03	208582.00	208582
595.5400	37.519019	26.4372	0.0916	4.666334e+03	264412.00	264412
670.7017	42.254209	26.5633	0.2154	9.181897e+03	335461.00	335461
755.3495	47.587016	26.4669	0.0990	1.035796e+04	425430.00	425430
850.6804	53.592865	26.8622	0.2172	1.354389e+04	539565.00	539565
958.0428	60.356698	27.3797	0.1664	8.741781e+03	667552.00	667552
1078.9552	67.974180	27.0200	0.1468	1.053695e+04	543120.00	543120
