R_PIX	R_ARCSEC	MU	MU_ERR	FLUX	AREA	NPIX
1.5000	0.094500	17.4528	0.0610	4.899144e+01	3.00	3
3.1893	0.200927	18.1214	99.0000	8.715513e+00	1.00	1
4.0451	0.254844	18.6210	99.0000	5.500860e+00	1.00	1
5.1306	0.323230	18.9816	99.0000	3.946476e+00	1.00	1
5.7782	0.364024	19.2343	0.0020	9.362978e+00	3.00	3
7.3287	0.461708	19.4027	0.0092	7.955466e+00	3.00	3
8.2536	0.519979	19.5840	0.0068	6.793270e+00	3.00	3
9.2953	0.585604	19.7095	0.0048	6.073055e+00	3.00	3
10.4684	0.659512	19.8688	0.0212	1.047368e+01	6.00	6
11.7896	0.742747	20.0079	0.0043	7.654918e+00	5.00	5
13.2776	0.836488	20.1041	0.0116	1.119492e+01	8.00	8
14.9533	0.942059	20.1965	0.0097	9.128946e+00	7.00	7
16.8405	1.060954	20.2744	0.0080	1.198079e+01	10.00	10
18.9659	1.194854	20.3899	0.0126	1.816518e+01	17.00	17
21.3596	1.345654	20.5523	0.0121	1.652794e+01	18.00	18
24.0553	1.515486	20.7779	0.0145	2.035031e+01	27.00	27
27.0913	1.706752	20.9939	0.0110	1.671614e+01	27.00	27
30.5104	1.922158	21.2151	0.0118	2.139222e+01	42.00	42
34.3611	2.164749	21.4270	0.0121	2.004402e+01	48.00	48
38.6977	2.437957	21.6315	0.0110	1.928588e+01	56.00	56
43.5817	2.745646	21.8350	0.0107	2.296279e+01	82.00	82
49.0820	3.092167	22.1016	0.0106	2.142732e+01	95.00	95
55.2766	3.482423	22.3278	0.0113	2.440236e+01	133.00	133
62.2529	3.921931	22.5539	0.0113	2.309454e+01	157.00	157
70.1097	4.416909	22.8562	0.0091	2.297001e+01	207.00	207
78.9581	4.974357	23.1248	0.0088	2.264738e+01	257.00	257
88.9232	5.602160	23.3978	0.0083	2.235520e+01	329.00	329
100.1460	6.309195	23.5968	0.0081	2.337058e+01	414.00	414
112.7852	7.105465	23.7982	0.0098	2.480321e+01	527.00	527
127.0195	8.002229	24.0144	0.0219	2.703175e+01	669.00	669
143.0504	9.012172	24.2115	0.0078	2.721285e+01	847.00	847
161.1044	10.149578	24.2497	0.3602	7.028991e+01	1075.00	1075
181.4370	11.430533	24.0872	0.0420	5.500204e+01	1366.00	1366
204.3358	12.873155	24.2153	0.0315	6.936032e+01	1732.00	1732
230.1245	14.497846	24.3927	0.1807	1.417937e+02	2187.00	2187
259.1680	16.327586	24.7244	0.0199	5.707543e+01	2791.00	2791
291.8770	18.388253	24.5933	0.0734	1.340409e+02	3493.00	3493
328.7142	20.708993	24.4790	0.0250	1.573014e+02	4481.00	4481
370.2004	23.322628	24.3146	0.4534	9.371353e+02	5678.00	5678
416.9226	26.266123	25.3017	0.0120	9.339441e+01	7199.00	7199
469.5414	29.581111	25.4509	0.0328	1.575729e+02	9040.00	9040
528.8012	33.314475	25.1342	0.6083	1.868887e+03	11585.00	11585
595.5400	37.519019	25.9218	0.7831	3.660454e+02	14676.00	14676
670.7017	42.254209	25.8719	0.7034	1.707112e+03	18656.00	18656
755.3495	47.587016	26.8260	0.2964	4.096450e+02	23610.00	23610
850.6804	53.592865	27.4837	0.8796	6.409601e+02	29989.00	29989
958.0428	60.356698	99.0000	99.0000	5.359039e+01	38013.00	38013
1078.9552	67.974180	99.0000	99.0000	1.736292e+01	15301.00	15301
