R_PIX	R_ARCSEC	MU	MU_ERR	FLUX	AREA	NPIX
1.5000	0.094500	18.0898	0.1671	1.794495e+01	2.00	2
3.1893	0.200927	18.7655	99.0000	4.815423e+00	1.00	1
4.0451	0.254844	19.0825	99.0000	3.596188e+00	1.00	1
5.1306	0.323230	19.3123	99.0000	2.910341e+00	1.00	1
5.7782	0.364024	19.5038	0.0288	7.346872e+00	3.00	3
7.3287	0.461708	19.6551	0.0214	6.394193e+00	3.00	3
8.2536	0.519979	19.7796	0.0205	5.680110e+00	3.00	3
9.2953	0.585604	19.8954	0.0198	5.093587e+00	3.00	3
10.4684	0.659512	20.0474	0.0220	8.953089e+00	6.00	6
11.7896	0.742747	20.1748	0.0108	6.621268e+00	5.00	5
13.2776	0.836488	20.2802	0.0149	9.539294e+00	8.00	8
14.9533	0.942059	20.3812	0.0145	7.617003e+00	7.00	7
16.8405	1.060954	20.5040	0.0114	9.766832e+00	10.00	10
18.9659	1.194854	20.6337	0.0114	1.464341e+01	17.00	17
21.3596	1.345654	20.7691	0.0113	1.373546e+01	18.00	18
24.0553	1.515486	20.9252	0.0104	1.797189e+01	27.00	27
27.0913	1.706752	21.0964	0.0117	1.537456e+01	27.00	27
30.5104	1.922158	21.2994	0.0118	1.970217e+01	42.00	42
34.3611	2.164749	21.5369	0.0114	1.793346e+01	48.00	48
38.6977	2.437957	21.7746	0.0116	1.699841e+01	56.00	56
43.5817	2.745646	21.9981	0.0107	2.021717e+01	82.00	82
49.0820	3.092167	22.2206	0.0093	1.908244e+01	95.00	95
55.2766	3.482423	22.4624	0.0101	2.154001e+01	133.00	133
62.2529	3.921931	22.6865	0.0112	2.048885e+01	157.00	157
70.1097	4.416909	22.9394	0.0099	2.138764e+01	207.00	207
78.9581	4.974357	23.2202	0.0101	2.072370e+01	257.00	257
88.9232	5.602160	23.4208	0.0082	2.179765e+01	329.00	329
100.1460	6.309195	23.6921	0.0096	2.154141e+01	414.00	414
112.7852	7.105465	23.8522	0.0109	2.411710e+01	527.00	527
127.0195	8.002229	23.9923	0.0143	2.815236e+01	669.00	669
143.0504	9.012172	24.2382	0.0243	3.262340e+01	847.00	847
161.1044	10.149578	24.5647	0.0340	3.273574e+01	1075.00	1075
181.4370	11.430533	24.8274	0.0327	3.067948e+01	1366.00	1366
204.3358	12.873155	24.9435	0.0120	2.964243e+01	1732.00	1732
230.1245	14.497846	25.0852	0.0523	4.533963e+01	2187.00	2187
259.1680	16.327586	25.4762	0.0098	2.906554e+01	2791.00	2791
291.8770	18.388253	25.6921	0.0951	3.532469e+01	3531.00	3531
328.7142	20.708993	25.8292	0.1176	6.776182e+01	4483.00	4483
370.2004	23.322628	25.4108	0.0774	1.461799e+02	5678.00	5678
416.9226	26.266123	25.1432	0.2094	2.040794e+02	7199.00	7199
469.5414	29.581111	25.5310	0.5940	6.045739e+02	9138.00	9138
528.8012	33.314475	26.9961	0.0310	4.160052e+01	11585.00	11585
595.5400	37.519019	27.4861	0.1204	5.143124e+01	14680.00	14680
670.7017	42.254209	28.3201	0.8533	1.758044e+02	18656.00	18656
755.3495	47.587016	28.2238	0.5065	1.031414e+02	23648.00	23648
850.6804	53.592865	28.9222	0.1964	3.840595e+01	29945.00	29945
958.0428	60.356698	27.9799	0.1041	8.774717e+01	30146.00	30146
